Name,Pos,Age,Date of Death,Include,BirthDate,Yrs,From,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds,Att,Yds,TD,Lng,Rec,Yds,TD,Lng,Tkl,Int,Sk,,,,,,,
Willie Daniel,DB,77,6/29/2015,1,11/10/1937,9,1961,1969,0,0,4,33,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,,,,,,,,
Jack Davis,G,81,2/15/2015,1,2/19/1933,1,1960,1960,0,0,0,2,2,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
JaJuan Dawson,WR,37,7/12/2015,1,11/5/1977,3,2000,2002,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,52,664,2,44,3,,,,,,,,,
Jimmy Dean,DE,60,9/3/2015,1,1/8/1955,1,1978,1978,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
John Demarie,G-T-C,70,11/29/2015,1,8/28/1945,10,1967,1976,0,0,8,39,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ron Drzewiecki,HB-DB,82,11/4/2015,1,1/25/1933,2,1955,1957,0,0,0,0,20,0,0,0,0,0,0,,,15,65,1,19,2,8,0,7,,,,,,,,,,
Tom Dublinski,QB,85,11/26/2015,1,8/8/1930,5,1952,1960,0,0,0,0,29,93,177,1300,8,66,13,,,28,118,1,17,0,0,0,0,,,,,,,,,,
Clyde Duncan,WR,54,2/16/2015,1,2/5/1961,2,1984,1985,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,39,1,14,,,,,,,,,,
Bill Enyart,RB-LB,67,2/10/2015,1,4/28/1947,3,1969,1971,0,0,0,6,29,0,0,0,0,0,0,0,0,105,387,1,26,54,421,3,37,,,,,,,,,,
James Evans,RB,52,11/19/2015,1,8/17/1963,1,1987,1987,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Mel Farr,RB,70,8/3/2015,1,11/3/1944,7,1967,1973,0,2,3,41,69,0,3,0,0,0,0,0,0,739,3072,26,57,146,1374,10,86,,,,,,,,,,
Marty Feldman,Coach,93,12/5/2015,1,9/12/1922,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Figner,DB,84,10/9/2015,1,4/30/1931,1,1953,1953,0,0,0,0,5,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,1,,,,,,,,
Jesse Freitas,QB,63,2/8/2015,1,9/10/1951,2,1974,1975,0,0,0,5,13,98,219,1244,8,71,13,31,214,17,72,0,17,0,0,0,0,,,,,,,,,,
Mike Frier,DE,46,12/31/2015,1,3/20/1969,3,1992,1994,0,0,0,5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,,1,,,,,,,
Ed Fullerton,DB,84,5/28/2015,1,4/7/1931,1,1953,1953,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Mike Gaechter,DB,75,8/1/2015,1,1/9/1940,8,1962,1969,0,0,6,37,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,,,,,,,,
Jim Gaffney,QB-HB,94,8/9/2015,1,4/21/1921,2,1945,1946,0,0,0,0,12,0,0,0,0,0,0,,,26,90,0,12,7,85,1,41,,,,,,,,,,
Frank Gifford,HB-FL-DB-WR,84,8/9/2015,1,8/16/1930,12,1952,1964,4,8,11,27,136,29,63,823,14,83,6,,,840,3609,34,79,367,5434,43,77,,2,,,,,,,,
Gary Glick,DB-HB,84,2/11/2015,1,5/14/1930,7,1956,1963,0,0,7,16,71,0,0,0,0,0,0,,,1,15,0,15,0,0,0,0,,14,,,,,,,,
Tom Goode,C-LB,76,10/8/2015,1,12/1/1938,9,1962,1970,0,1,5,34,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rufus Granderson,DT,79,10/20/2015,1,8/13/1936,1,1960,1960,0,0,0,4,6,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Ray Graves,C,96,4/10/2015,1,12/31/1918,3,1942,1946,0,0,2,0,28,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,2,,,,,,,,
Tim Gray,DB,62,10/8/2015,1,11/11/1952,5,1975,1979,0,0,4,18,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,,,,,,,,
Jimmy Gunn,LB,66,4/11/2015,1,11/27/1948,7,1970,1976,0,0,2,25,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,,,,
Bruce Hansen,RB,54,10/0/2015,0,9/18/1961,1,1987,1987,0,0,0,1,6,0,0,0,0,0,0,0,0,16,44,0,7,1,22,0,22,,,,,,,,,,
Rip Hawkins,LB,76,7/28/2015,1,4/21/1939,5,1961,1965,0,1,5,28,70,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,12,,,,,,,,
Dick Hensley,E-DE,87,3/7/2015,1,9/8/1927,3,1949,1953,0,0,1,0,33,0,0,0,0,0,0,,,0,0,0,0,19,358,2,60,,,,,,,,,,
Gary Henson,E,74,1/20/2015,1,9/8/1940,2,1963,1964,0,0,0,0,12,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Mack Herron,RB,67,12/6/2015,1,7/24/1948,3,1973,1975,0,0,1,23,39,0,0,0,0,0,0,0,0,354,1298,9,53,61,789,6,48,,,,,,,,,,
Ray Hill,DB,39,8/6/2015,1,8/7/1975,3,1998,2000,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,
Mel Holmes,G-T,65,12/24/2015,1,1/22/1950,3,1971,1973,0,0,0,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gordy Holz,DT-T,82,8/15/2015,1,5/24/1933,5,1960,1964,0,0,5,25,70,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,1,,,,,,,,
Marv Hubbard,RB,68,5/4/2015,1,5/7/1946,8,1969,1977,0,3,4,47,103,0,0,0,0,0,0,0,0,951,4544,23,53,85,628,1,31,,,,,,,,,,
Tommy Hudspeth,Coach,83,6/23/2015,1,9/14/1931,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Hunt,T-G,66,5/22/2015,1,11/29/1948,7,1972,1978,0,0,1,21,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chuck Hurston,DE-LB,72,11/4/2015,1,11/9/1942,7,1965,1971,0,0,2,27,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Lindy Infante,Coach,75,10/8/2015,1,3/27/1940,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Jensen,DE-E,89,10/8/2015,1,12/29/1925,3,1948,1950,0,0,1,0,34,0,0,0,0,0,0,,,0,0,0,0,22,290,1,0,,,,,,,,,,
Bill Jessup,E-FL,85,1/3/2015,1,3/17/1929,7,1951,1960,0,0,1,1,62,0,1,0,0,0,1,,,1,-5,0,0,61,994,7,68,,,,,,,,,,
Jim Jodat,RB,61,10/21/2015,1,3/3/1954,7,1977,1983,0,0,1,8,87,0,0,0,0,0,0,0,0,226,866,7,26,35,265,2,26,,,,,,,,,,
Jack Johnson,DB,81,10/0/2015,0,12/11/1933,5,1957,1961,0,0,1,8,45,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,8,,,,,,,,
Abe Karnofsky,QB-HB-DB,92,1/9/2015,1,9/22/1922,2,1945,1946,0,0,0,0,19,0,0,0,0,0,0,,,77,218,3,35,13,252,1,56,,1,,,,,,,,
Bill Keating,DT-G,70,1/1/2015,1,11/22/1944,2,1966,1967,0,0,0,5,22,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Gorden Kelley,LB,77,10/22/2015,1,6/11/1938,4,1960,1963,0,0,3,20,51,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,5,,,,,,,,
Vince Kendrick,RB,63,3/21/2015,1,3/18/1952,2,1974,1976,0,0,0,1,15,0,0,0,0,0,0,0,0,18,74,0,17,12,86,1,12,,,,,,,,,,
Bill Kindricks,DT,68,6/8/2015,1,7/24/1946,1,1968,1968,0,0,0,2,9,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Michael Kostiuk,T,95,7/26/2015,1,8/1/1919,2,1941,1945,0,0,0,0,7,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Roy Kurrasch,E,92,7/11/2015,1,10/8/1922,2,1947,1948,0,0,0,0,19,0,0,0,0,0,0,,,0,0,0,0,2,53,0,0,,,,,,,,,,
Chuck Lamson,DB,76,11/23/2015,1,3/14/1939,5,1962,1967,0,0,5,28,67,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,11,,,,,,,,
Bill Larson,FB,77,9/19/2015,1,7/26/1938,1,1960,1960,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Eddie LeBaron,QB,85,4/1/2015,1,1/7/1930,11,1952,1963,0,4,9,20,134,898,1796,13399,104,85,141,,,202,650,9,32,0,0,0,0,,,,,,,,,,
Ed Lechner,G-T,95,11/5/2015,1,12/14/1919,1,1942,1942,0,0,0,0,4,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Dan Lewis,HB-FB,79,3/6/2015,1,2/14/1936,9,1958,1966,0,0,6,31,110,2,5,30,1,26,0,,,800,3205,19,74,99,1162,5,92,,,,,,,,,,
Jack Linn,T-G,48,9/6/2015,1,6/10/1967,3,1991,1993,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tom Longo,DB,73,7/2/2015,1,2/21/1942,3,1969,1971,0,0,1,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,,,,
Don Looney,E,98,4/5/2015,1,9/2/1916,3,1940,1942,0,1,1,0,23,0,0,0,0,0,0,,,2,-4,0,0,75,952,6,66,,,,,,,,,,
Tommy Mason,RB,75,1/22/2015,1,7/8/1939,11,1961,1971,1,3,5,50,124,3,9,95,2,51,2,0,0,1040,4203,32,71,214,2324,13,74,,,,,,,,,,
Ray Mathews,HB-E,86,12/20/2015,1,2/26/1929,10,1951,1960,0,2,8,0,114,19,51,350,2,69,2,,,300,1057,5,36,233,3963,34,78,,2,,,,,,,,
Ralph McGill,DB,64,3/21/2015,1,4/28/1950,8,1972,1979,0,0,3,25,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,,,,,,,,
Don McKinnon,LB-C,73,1/25/2015,1,8/28/1941,2,1963,1964,0,0,0,7,17,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Fred McNeill,LB,63,11/3/2015,1,5/6/1952,12,1974,1985,0,0,8,54,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,1.5,,,,,,,
Steve Meilinger,E,84,9/14/2015,1,12/12/1930,5,1956,1961,0,0,3,2,52,0,0,0,0,0,0,,,1,6,0,6,60,863,8,51,,,,,,,,,,
John Mellekas,C-DT-T,81,6/2/2015,1,6/14/1933,7,1956,1963,0,0,3,15,84,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Terdell Middleton,RB,59,4/3/2015,1,4/8/1955,7,1977,1983,0,1,2,20,80,0,0,0,0,0,0,0,0,561,2048,15,76,78,659,3,50,,,,,,,,,,
Ed Modzelewski,FB,86,2/27/2015,1,1/13/1929,6,1952,1959,0,0,3,0,66,0,0,0,0,0,0,,,393,1292,11,25,38,277,3,28,,,,,,,,,,
Quincy Monk,LB,36,11/24/2015,1,1/30/1979,3,2002,2004,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,,,
Dennis Morgan,RB,63,10/25/2015,1,6/26/1952,2,1974,1975,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Jim Mutscheller,E-DE,85,4/10/2015,1,3/31/1930,8,1954,1961,0,1,7,7,95,0,0,0,0,0,0,,,0,0,0,0,220,3684,40,66,,,,,,,,,,
Ray Nagel,QB,87,1/15/2015,1,5/18/1927,1,1953,1953,0,0,0,0,4,30,62,192,0,27,5,,,4,8,0,6,0,0,0,0,,,,,,,,,,
Joe O'Malley,DE,82,3/20/2015,1,1/1/1933,2,1955,1956,0,0,1,0,22,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Johnny Papit,HB,86,4/6/2015,1,7/25/1928,3,1951,1953,0,0,0,0,29,0,0,0,0,0,0,,,95,379,1,33,7,123,1,39,,,,,,,,,,
Leon Pense,BB,92,1/22/2015,1,2/5/1922,1,1945,1945,0,0,1,0,10,0,0,0,0,0,0,,,6,1,0,1,1,32,0,32,,3,,,,,,,,
Pat Peppler,Coach,93,6/23/2015,1,4/16/1922,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volney Peters,DT-T-DE,87,12/28/2015,1,1/1/1928,9,1952,1961,0,1,7,7,104,0,0,0,0,0,0,,,1,-7,0,0,0,0,0,0,,,,,,,,,,
Red Phillips,E,79,3/25/2015,1,2/5/1936,10,1958,1967,1,3,10,46,119,0,0,0,0,0,0,,,0,0,0,0,401,6044,34,93,,,,,,,,,,
Art Powell,SE-DB-WR,78,4/6/2015,1,2/25/1937,10,1959,1968,2,4,8,67,117,0,0,0,0,0,0,,,0,0,0,0,479,8046,81,85,,3,,,,,,,,
Bob Priestley,E,95,5/20/2015,1,1/5/1920,1,1942,1942,0,0,0,0,9,0,0,0,0,0,0,,,0,0,0,0,4,47,0,15,,,,,,,,,,
Steve Pritko,E-DE,94,6/6/2015,1,12/21/1920,8,1943,1950,0,0,2,0,86,0,0,0,0,0,0,,,0,0,0,0,93,1114,13,53,,1,,,,,,,,
Jethro Pugh,DT-DE,70,1/7/2015,1,7/3/1944,14,1965,1978,0,0,12,70,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,,
Mike Pyle,C,76,7/29/2015,1,7/18/1939,9,1961,1969,0,1,9,47,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
George Pyne,DT,74,11/26/2015,1,7/12/1941,1,1965,1965,0,0,0,4,14,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Bill Quinlan,DE,83,11/10/2015,1,6/19/1932,9,1957,1965,0,0,6,31,111,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,3,,,,,,,,
Houston Ridge,DE-DT,71,10/17/2015,1,7/18/1944,4,1966,1969,0,0,2,13,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Thron Riggs,T,94,11/0/2015,0,4/25/1921,1,1944,1944,0,0,0,0,10,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Adrian Robinson,LB,25,5/16/2015,1,11/21/1989,2,2012,2013,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,
Wayne Robinson,LB-C,85,12/20/2015,1,1/14/1930,5,1952,1956,0,2,5,0,58,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,5,,,,,,,,
Bill Roffler,DB,84,1/20/2015,1,9/16/1930,1,1954,1954,0,0,0,0,3,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Al Romine,DB-HB,83,9/30/2015,1,3/10/1932,4,1955,1961,0,0,1,7,32,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,,4,,,,,,,,
Aubrey Rozzell,LB,82,10/14/2015,1,11/2/1932,1,1957,1957,0,0,1,0,7,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,1,,,,,,,,
Charlie Sanders,TE,68,7/2/2015,1,8/25/1946,10,1968,1977,3,7,9,53,128,0,0,0,0,0,0,0,0,4,-6,0,2,336,4817,31,54,,,,,,,,,,
Tyler Sash,SS,27,9/8/2015,1,5/27/1988,2,2011,2012,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,,,
Tom Scott,DE-LB,84,8/31/2015,1,9/3/1930,12,1953,1964,0,2,10,30,150,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,8,,,,,,,,
Allie Sherman,QB/Coach,91,1/3/2015,1,2/10/1923,5,1943,1947,0,0,0,0,51,66,135,823,9,53,10,,,93,-44,4,17,0,0,0,0,,2,,,,,,,,
John Siegal,E-DE,97,5/25/2015,1,5/15/1918,5,1939,1943,0,3,1,0,43,0,0,0,0,0,0,,,0,0,0,0,31,637,6,65,,1,,,,,,,,
Joe Skibinski,G,86,8/18/2015,1,12/23/1928,3,1952,1956,0,0,2,0,36,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
J.D. Smith,FB-HB-DB,82,4/1/2015,1,7/19/1932,11,1956,1966,0,2,7,36,131,0,1,0,0,0,1,,,1100,4672,40,80,127,1122,6,57,,2,,,,,,,,
Rick Sortun,G,73,11/3/2015,1,9/26/1942,6,1964,1969,0,0,0,15,82,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,7,,,,,,,,,,
Robert Sowell,DB,53,6/22/2015,1,6/23/1961,4,1983,1987,0,0,0,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,
Bob St. Clair,T,84,4/20/2015,1,2/18/1931,11,1953,1963,0,5,11,24,119,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Ken Stabler,QB,69,7/8/2015,1,12/25/1945,15,1970,1984,1,4,11,94,184,2270,3793,27938,194,88,222,281,2514,118,93,4,18,0,0,0,0,,,,,,,,,,
Dick Stanfel,G/Coach,87,6/22/2015,1,7/20/1927,7,1952,1958,5,5,7,0,73,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Jim Steffen,DB,78,4/23/2015,1,5/1/1936,7,1959,1965,0,0,5,29,88,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,17,,,,,,,,
Richard Stotter,LB,70,5/4/2015,1,4/5/1945,1,1968,1968,0,0,0,3,3,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Bob Suci,DB,76,12/21/2015,1,4/7/1939,2,1962,1963,0,0,1,12,20,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,8,,,,,,,,
Charlie Sumner,DB/Coach,84,4/4/2015,1,10/19/1930,6,1955,1962,0,0,4,12,73,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,21,,,,,,,,
Archie Sutton,T,73,8/29/2015,1,11/2/1941,3,1965,1967,0,0,0,8,19,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Rich Szaro,K,67,4/8/2015,1,3/7/1948,5,1975,1979,0,0,3,12,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Mike Taylor,T,70,11/18/2015,1,5/5/1945,5,1968,1973,0,0,1,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Bob Toneff,DT-DE-T-LB-G,84,4/15/2015,1,6/23/1930,12,1952,1964,1,4,11,29,149,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,2,,,,,,,,
LaVerne Torczon,DE,79,4/18/2015,1,1/1/1936,7,1960,1966,1,1,6,41,98,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,2,,,,,,,,
LaVern Torgeson,LB-C/Coach,86,3/23/2015,1,2/28/1929,7,1951,1957,0,3,7,0,82,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,18,,,,,,,,
Bobby Towns,DB,76,2/11/2015,1,3/17/1938,2,1960,1961,0,0,0,5,6,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Bill Tucker,RB,72,11/26/2015,1,9/14/1943,5,1967,1971,0,0,0,9,69,0,0,0,0,0,0,0,0,127,431,6,24,59,496,7,43,,,,,,,,,,
Ted Vaught,DE-E,82,5/28/2015,1,7/19/1932,1,1955,1955,0,0,0,0,2,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Danny Villanueva,K,77,6/18/2015,1,11/5/1937,8,1960,1967,0,0,8,36,110,0,1,0,0,0,0,,,2,8,0,23,0,0,0,0,,,,,,,,,,
Wilbur Volz,HB-DB,91,12/27/2015,1,1/1/1924,1,1949,1949,0,0,0,0,8,0,0,0,0,0,0,,,4,7,1,0,1,6,0,6,,,,,,,,,,
Richard Williamson,Coach,74,9/21/2015,1,4/13/1941,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Wilson,DE,78,3/5/2015,1,12/9/1936,2,1959,1960,0,0,1,7,22,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Dick Wood,QB/Coach,79,4/4/2015,1,2/29/1936,5,1962,1966,0,0,3,17,60,522,1194,7153,51,71,71,,,26,45,4,21,0,0,0,0,,,,,,,,,,
Garo Yepremian,K,70,5/15/2015,1,6/2/1944,14,1966,1981,2,2,12,41,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tyrone Young,WR,55,10/15/2015,1,4/29/1960,2,1983,1984,0,0,1,6,32,0,0,0,0,0,0,0,0,0,0,0,0,36,682,6,74,,,,,,,,,,
Joe Abbey,,88,3/6/2014,1,3/21/1925,2,1948,1949,0,0,0,0,18,0,0,0,0,0,0,,,0,0,0,0,13,177,0,48,,,,,,,,,,
Mack Alston,TE,67,12/24/2014,1,4/27/1947,11,1970,1980,0,0,5,12,145,0,0,0,0,0,0,0,0,2,10,0,13,108,1247,15,39,,,,,,,,,,
Ocie Austin,DB,67,7/22/2014,1,1/8/1947,4,1968,1971,0,0,1,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,,,,,,,
Chris Banks,G,41,4/9/2014,1,4/4/1973,3,1998,2000,0,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Paul Barry,FB-HB,88,12/28/2014,1,8/7/1926,4,1950,1954,0,0,1,0,42,0,0,0,0,0,0,,,159,604,2,28,24,264,1,39,,,,,,,,,,
Dave Behrman,C-T,73,12/9/2014,1,11/9/1941,3,1963,1967,0,1,1,10,39,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Art Best,RB,61,10/14/2014,1,3/18/1953,3,1977,1980,0,0,0,0,31,0,0,0,0,0,0,0,0,8,31,0,6,0,0,0,0,,,,,,,,,,
Dennis Biodrowski,G,74,10/20/2014,1,6/27/1940,5,1963,1967,0,0,0,12,30,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Rob Bironas,K,36,9/20/2014,1,1/29/1978,9,2005,2013,1,1,9,29,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,,,,,,,,
Bill Boedeker,HB,90,3/21/2014,1,3/7/1924,5,1946,1950,0,0,1,0,60,0,0,0,0,0,0,,,173,741,8,8,38,875,6,10,,1,,,,,,,,
Jim Boeke,T,76,9/26/2014,1,9/11/1938,9,1960,1968,0,0,4,32,119,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Don Bracken,P,52,10/30/2014,1,2/16/1962,8,1985,1993,0,0,6,9,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
John Bramlett,LB,73,10/23/2014,1,7/7/1941,7,1965,1971,0,2,6,31,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,,,,,,,,
Carl Brettschneider,LB,82,11/26/2014,1,12/2/1931,8,1956,1963,0,0,7,26,89,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,3,,,,,,,,
Boyd Brown,TE,62,12/18/2014,1,5/24/1952,4,1974,1977,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,14,,,,,,,,,,
Les Bruckner,FB,96,9/21/2014,1,4/16/1918,1,1945,1945,0,0,0,0,2,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Frank Budd,WR,74,4/29/2014,1,7/20/1939,2,1962,1963,0,0,0,2,27,0,0,0,0,0,0,,,0,0,0,0,10,236,1,50,,,,,,,,,,
Cannonball Butler,RB,70,2/10/2014,1,5/4/1943,8,1965,1972,0,1,4,32,97,0,0,0,0,0,0,0,0,797,2768,9,60,89,959,7,66,,,,,,,,,,
Jesse Castete,DB,80,8/29/2014,1,9/3/1933,2,1956,1957,0,0,0,0,22,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,2,,,,,,,,
Ronnie Caveness,LB,71,5/10/2014,1,3/6/1943,4,1965,1968,0,0,0,11,46,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,1,,,,,,,,
Ernie Cheatham,DT,84,6/14/2014,1,7/27/1929,1,1954,1954,0,0,0,0,6,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Don Chuy,G,72,1/6/2014,1,7/20/1941,7,1963,1969,0,0,3,25,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Daniel Colchico,DE,78,4/27/2014,1,5/27/1935,7,1960,1969,0,0,5,33,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Mo Collins,G-T,38,10/26/2014,1,9/22/1976,6,1998,2003,0,0,5,30,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ted Connolly,G,82,2/24/2014,1,12/5/1931,9,1954,1963,0,1,5,20,92,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Jim Cox,G-LB,93,7/29/2014,1,9/6/1920,1,1948,1948,0,0,0,0,14,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Hilton Crawford,DB,69,7/5/2014,1,2/2/1945,1,1969,1969,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Dave Daniels,DT,73,8/19/2014,1,4/5/1941,1,1966,1966,0,0,0,3,14,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Bob Denton,DE-T,79,7/8/2014,1,7/24/1934,5,1960,1964,0,0,0,14,68,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Tony DiMidio,T-C,71,4/26/2014,1,8/20/1942,2,1966,1967,0,0,0,6,26,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Ray DiPierro,G,87,7/20/2014,1,8/22/1926,2,1950,1951,0,0,1,0,18,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Harley Dow,G-T,88,3/25/2014,1,10/19/1925,1,1950,1950,0,0,1,0,12,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Elbert Drungo,T-G,71,10/11/2014,1,4/30/1943,9,1969,1978,0,0,7,35,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chris Dyko,T,48,12/28/2014,1,3/16/1966,1,1989,1989,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
